Date ,Time,Site_Name,Cond_uS_cm,nLF_Cond_uS_cm,ODO_percent_sat,ODO_percent_cb,ODO_mg_L,Sal_psu,SpCond_uS_cm,TDS_mg_L,Turbidity_NTU,TSS_mg_L,Temp_celcius,pH,Turbidity_FNU,Notes
4/11/2024,15:00:00,Pond 27,433.40,476.50,95.80,96.90,8.59,0.23,472.80,307.00,7.43,0.00,20.64,na,na,
4/11/2024,16:00:00,Pond 27,440.80,476.90,101.60,102.80,8.98,0.23,473.70,308.00,1.07,0.00,21.37,na,na,
4/11/2024,17:00:00,Pond 27,445.60,475.80,103.00,104.20,9.00,0.23,473.10,308.00,7.59,0.00,21.95,na,na,
4/11/2024,18:00:00,Pond 27,447.60,475.20,107.20,108.40,9.32,0.23,472.80,307.00,1.44,0.00,22.22,na,na,
4/11/2024,19:00:00,Pond 27,445.00,474.90,107.80,109.00,9.41,0.23,472.20,307.00,1.43,0.00,21.98,na,na,
4/11/2024,20:00:00,Pond 27,441.00,474.90,106.10,107.40,9.35,0.23,471.90,307.00,1.32,0.00,21.58,na,na,
4/11/2024,21:00:00,Pond 27,437.70,474.60,104.70,105.90,9.28,0.23,471.40,306.00,0.80,0.00,21.26,na,na,
4/11/2024,22:00:00,Pond 27,434.60,474.70,103.80,105.00,9.26,0.23,471.20,306.00,1.18,0.00,20.93,na,na,
4/11/2024,23:00:00,Pond 27,431.10,474.50,106.50,107.80,9.56,0.23,470.80,306.00,0.82,0.00,20.59,na,na,
4/12/2024,0:00:00,Pond 27,427.80,474.60,104.90,106.10,9.48,0.23,470.60,306.00,0.67,0.00,20.24,na,na,
4/12/2024,1:00:00,Pond 27,425.30,475.00,100.30,101.40,9.12,0.23,470.80,306.00,0.61,0.00,19.93,na,na,
4/12/2024,2:00:00,Pond 27,423.40,476.00,94.80,95.90,8.67,0.23,471.60,307.00,0.63,0.00,19.65,na,na,
4/12/2024,3:00:00,Pond 27,422.30,477.70,84.60,85.50,7.77,0.23,473.10,308.00,0.85,0.00,19.38,na,na,
4/12/2024,4:00:00,Pond 27,420.50,478.90,72.10,72.90,6.67,0.23,474.00,308.00,0.68,0.00,19.09,na,na,
4/12/2024,5:00:00,Pond 27,417.80,479.00,65.70,66.50,6.11,0.23,474.00,308.00,0.63,0.00,18.79,na,na,
4/12/2024,6:00:00,Pond 27,415.10,479.10,60.90,61.60,5.70,0.23,473.90,308.00,0.66,0.00,18.50,na,na,
4/12/2024,7:00:00,Pond 27,412.50,479.30,57.70,58.40,5.43,0.23,473.90,308.00,0.68,0.00,18.21,na,na,
4/12/2024,8:00:00,Pond 27,410.40,479.60,52.30,52.90,4.94,0.23,474.00,308.00,1.09,0.00,17.98,na,na,
4/12/2024,9:00:00,Pond 27,417.70,490.00,75.40,76.30,7.16,0.23,484.20,315.00,6.45,0.00,17.81,na,na,
4/12/2024,10:00:00,Pond 27,420.70,492.20,79.90,80.90,7.57,0.24,486.40,316.00,5.92,0.00,17.92,na,na,
4/12/2024,11:00:00,Pond 27,425.00,495.40,87.40,88.40,8.25,0.24,489.70,318.00,6.13,0.00,18.08,na,na,
4/12/2024,12:00:00,Pond 27,425.20,491.80,80.40,81.40,7.54,0.24,486.40,316.00,4.90,0.00,18.41,na,na,
4/12/2024,13:00:00,Pond 27,433.20,490.50,92.00,93.10,8.47,0.23,485.70,316.00,6.98,0.00,19.33,na,na,
4/12/2024,14:00:00,Pond 27,434.60,489.70,103.00,104.20,9.44,0.23,485.10,315.00,4.51,0.00,19.55,na,na,
4/12/2024,15:00:00,Pond 27,441.60,488.90,107.70,108.90,9.71,0.23,484.90,315.00,4.23,0.00,20.33,na,na,
4/12/2024,16:00:00,Pond 27,446.00,486.50,108.40,109.60,9.65,0.23,483.00,314.00,5.43,0.00,20.99,na,na,
4/12/2024,17:00:00,Pond 27,445.80,485.40,110.00,111.20,9.78,0.23,481.90,313.00,4.75,0.00,21.08,na,na,
4/12/2024,18:00:00,Pond 27,447.90,485.50,111.60,112.90,9.88,0.23,482.20,313.00,3.81,0.00,21.28,na,na,
