date ,ID ,percent_cover,total_sc,HEDU_sc,SH_1,SH_2,SH_3,SH_4,LL_1,Flowers,f_species,dominant ,Reassigned_stems,Notes ,,
2/29/24,30,<1,,,,,,,,N,,HEDU,,,,Y
2/29/24,29,2,,,,,,,,N,,PONO,,,,N
2/29/24,28,<1,,,,,,,,N,,HEDU,,,,
2/29/24,27,0,,,,,,,,N,,N/A,,,,
2/29/24,26,1,,,,,,,,N,,HEDU,,,,
2/29/24,25,0,,,,,,,,N,,N/A,,,,
2/29/24,24,1,,,,,,,,N,,NYOD,,,,
2/29/24,23,0,,,,,,,,N,,VANE,,,,
2/29/24,22,1,,,,,,,,N,,PONO,,,,
2/29/24,21,1,,,,,,,,N,,HEDU,,,,
2/29/24,20,4,,,,,,,,N,,PONO,,,,
2/29/24,19,0,,,,,,,,N,,HEDU,,,,
2/29/24,18,5,,,,,,,,N,,PONO,,,,
2/29/24,17,<1,,,,,,,,N,,HEDU,,,,
2/29/24,16,4,,,,,,,,N,,PONO,,,,
2/29/24,15,0,,,,,,,,N,,N/A,,,,
2/29/24,14,1,,,,,,,,N,,HEDU,,,,
2/29/24,13,0,,,,,,,,N,,VANE,,,,
2/29/24,12,0,,,,,,,,N,,HYVE,,,,
2/29/24,11,1,,,,,,,,N,,PONO,,,,
2/29/24,10,1,,,,,,,,N,,NYOD,,,,
2/29/24,9,1,,,,,,,,N,,HEDU,,,,
2/29/24,8,1,,,,,,,,N,,NYOD,,,,
2/29/24,7,0,,,,,,,,N,,HEDU,,,,
2/29/24,6,0,,,,,,,,N,,HYVE,,,,
2/29/24,5,<1,12,,,,,,,N,,PONO,,,,
2/29/24,4,1,,,,,,,,N,,PONO,,,,
2/29/24,3,<1,13,,,,,,,N,,HEDU,,,,
2/29/24,2,0,,,,,,,,N,,N/A,,,,
2/29/24,1,0,,,,,,,,N,,VANE,,,,
3/5/24,30,1,23,,,,,,,N,,HEDU,,,,
3/5/24,29,2,38,,,,,,,N,,PONO,,,,
3/5/24,28,2,36,,,,,,,N,,HEDU,,,,
3/5/24,27,0,,,,,,,,N,,N/A,,no live agb ,,
3/5/24,26,4,34,,,,,,,N,,HEDU,,,,
3/5/24,25,0,,,,,,,,N,,N/A,,no live agb ,,
3/5/24,24,1,,,,,,,,N,,NYOD,,,,
3/5/24,23,0,,,,,,,,N,,VANE,,,,
3/5/24,22,6,28,,,,,,,N,,PONO,,,,
3/5/24,21,2,32,,,,,,,N,,HEDU,,,,
3/5/24,20,6,35,,,,,,,N,,PONO,,,,
3/5/24,19,1,13,,,,,,,N,,HEDU,,,,
3/5/24,18,7,46,,,,,,,N,,PONO,,,,
